problem,family,dim,method,seed,budget,success,first_feasible,best_f,final_ncv,elapsed_sec
LargeChain500,chain,500,DCAS-PSO,4,600,0,601,inf,4.328680772157317,0.2666369840007974
LargeChain500,chain,500,DCAS-PSO,5,600,0,601,inf,4.995015156940925,0.2607993300007365
LargeChain500,chain,500,DCAS-PSO,6,600,0,601,inf,4.96144342148701,0.2757383499993011
LargeChain500,chain,500,DCAS-PSO,7,600,0,601,inf,5.657576767274207,0.2641720489991712
LargeChain500,chain,500,DCAS-PSO,8,600,0,601,inf,4.711301126430721,0.2652953960005106
LargeChain500,chain,500,DCAS-PSO,9,600,0,601,inf,4.972319807065318,0.3393227849992399
LargeChain500,chain,500,JADE-NCV,0,600,0,601,inf,19.686564090763422,0.1029513379999116
LargeChain500,chain,500,JADE-NCV,1,600,0,601,inf,15.624060420932684,0.0908028309986548
LargeChain500,chain,500,JADE-NCV,2,600,0,601,inf,16.545763105102573,0.094025058000625
LargeChain500,chain,500,JADE-NCV,3,600,0,601,inf,16.724016199156466,0.1039875220012618
LargeChain500,chain,500,JADE-NCV,4,600,0,601,inf,17.47682137964315,0.074938015999578
LargeChain500,chain,500,JADE-NCV,5,600,0,601,inf,19.19111635522407,0.0887746469998091
LargeChain500,chain,500,JADE-NCV,6,600,0,601,inf,17.407963699035573,0.0786207950004609
LargeChain500,chain,500,JADE-NCV,7,600,0,601,inf,17.95563469903611,0.0755690930000128
LargeChain500,chain,500,JADE-NCV,8,600,0,601,inf,20.02143174745819,0.0879586430000927
LargeChain500,chain,500,JADE-NCV,9,600,0,601,inf,15.914035460366172,0.0904340750003029
LargeChain500,chain,500,PSO,0,600,0,601,inf,18.34053703699045,0.0331576230000791
LargeChain500,chain,500,PSO,1,600,0,601,inf,17.80328655066723,0.0571092159989348
LargeChain500,chain,500,PSO,2,600,0,601,inf,17.578141256685452,0.0369153179999557
LargeChain500,chain,500,PSO,3,600,0,601,inf,16.75987714488924,0.0665988900000229
LargeChain500,chain,500,PSO,4,600,0,601,inf,17.820931169362872,0.0332311370002571
LargeChain500,chain,500,PSO,5,600,0,601,inf,17.860305563051863,0.0502252819987916
LargeChain500,chain,500,PSO,6,600,0,601,inf,19.94863825370118,0.0377152549990569
LargeChain500,chain,500,PSO,7,600,0,601,inf,17.472331441215182,0.0476564340006007
LargeChain500,chain,500,PSO,8,600,0,601,inf,20.87262657313663,0.0424866169996676
LargeChain500,chain,500,PSO,9,600,0,601,inf,18.912202884660694,0.0317090940006892
LargeShell500,shell,500,DCAS-DE,0,600,1,51,0.122988754695337,0.0,0.8522606369988353
LargeShell500,shell,500,DCAS-DE,1,600,1,61,0.1403669448498974,0.0,0.7482209169993439
LargeShell500,shell,500,DCAS-DE,2,600,1,45,0.1002745849295995,0.0,0.7678411599990795
LargeShell500,shell,500,DCAS-DE,3,600,1,66,0.1270593354036576,0.0,0.739805574001366
LargeShell500,shell,500,DCAS-DE,4,600,1,57,0.1573136551533981,0.0,0.6940600610014371
LargeShell500,shell,500,DCAS-DE,5,600,1,53,0.1290708516482577,0.0,0.6733610249993944
