problem,dim,method,seed,budget,success,first_feasible,best_f,final_ncv,declared_cost,elapsed_sec
CantileverBeam,5,DCAS-DE,18,400,1,1,2.048267299535854,0.0,403.7468510455269,0.2375638079993223
CantileverBeam,5,DCAS-DE,19,400,1,1,2.317415123879188,0.0,402.9816930515179,0.8616593419992569
CantileverBeam,5,DCAS-DE,20,400,1,1,1.9553464251114097,0.0,397.2625486756807,0.5362385699991137
CantileverBeam,5,DCAS-DE,21,400,1,1,2.4333371087802225,0.0,396.4174236157536,0.6236936830009654
CantileverBeam,5,DCAS-DE,22,400,1,1,2.1056799413351217,0.0,398.4474043924754,0.391688060000888
CantileverBeam,5,DCAS-DE,23,400,1,1,2.286772824165048,0.0,396.3689421171374,0.3461712890002673
CantileverBeam,5,DCAS-DE,24,400,1,1,2.186375499395833,0.0,397.6712233397203,0.1944788260007044
CantileverBeam,5,DCAS-DE,25,400,1,2,2.681689115220038,0.0,395.175677755828,0.1902235959987592
CantileverBeam,5,DCAS-DE,26,400,1,1,4.199858104335696,0.0,395.1992798371034,0.1929726750004192
CantileverBeam,5,DCAS-DE,27,400,1,1,2.637896753063996,0.0,399.4112009337134,0.1830437000007805
CantileverBeam,5,DCAS-DE,28,400,1,1,3.762996642390588,0.0,401.17008728587865,0.177382268000656
CantileverBeam,5,DCAS-DE,29,400,1,1,4.01101276818278,0.0,397.0981577477248,0.1905747529999644
CantileverBeam,5,DCAS-PSO,0,400,1,2,2.8348511473475546,0.0,391.3645578976322,0.2102887769997323
CantileverBeam,5,DCAS-PSO,1,400,1,1,2.328153548320317,0.0,391.4473088387258,0.2595095119995676
CantileverBeam,5,DCAS-PSO,2,400,1,1,3.529652944155357,0.0,393.8202876486723,0.1932579650001571
CantileverBeam,5,DCAS-PSO,3,400,1,1,2.122169352988112,0.0,388.7842762547463,0.3840131429988105
CantileverBeam,5,DCAS-PSO,4,400,1,1,2.8633353103112777,0.0,392.08868634385766,0.4288660879992676
CantileverBeam,5,DCAS-PSO,5,400,1,1,2.308545190978122,0.0,391.4913138835231,0.4078402039995126
CantileverBeam,5,DCAS-PSO,6,400,1,1,3.40870817655802,0.0,390.91050450753465,0.4187060700005531
CantileverBeam,5,DCAS-PSO,7,400,1,1,2.316360778935312,0.0,393.3873166220922,0.316931105000549
CantileverBeam,5,DCAS-PSO,8,400,1,1,3.897196653273636,0.0,392.1485371485733,0.2063043189991731
CantileverBeam,5,DCAS-PSO,9,400,1,1,4.03566932870491,0.0,390.7631958410243,0.2063800639989494
CantileverBeam,5,DCAS-PSO,10,400,1,1,2.2811969544937343,0.0,392.3701048956888,0.1995879400001285
CantileverBeam,5,DCAS-PSO,11,400,1,1,2.04442186733892,0.0,392.0875230577716,0.2245512230001622
CantileverBeam,5,DCAS-PSO,12,400,1,1,2.1461523545793098,0.0,391.3893197094512,0.417917621000015
CantileverBeam,5,DCAS-PSO,13,400,1,1,2.6185993710417965,0.0,393.3632009459577,0.7296243609998783
CantileverBeam,5,DCAS-PSO,14,400,1,1,2.120445322635257,0.0,392.1638719778828,1.410862343998815
CantileverBeam,5,DCAS-PSO,15,400,1,1,2.2223256975593166,0.0,393.993381537674,0.6850769660013611
CantileverBeam,5,DCAS-PSO,16,400,1,1,3.5682098081247835,0.0,392.90707284874543,0.5051937410007667
CantileverBeam,5,DCAS-PSO,17,400,1,1,2.3441140132495573,0.0,393.08611768865615,0.5247908500004996
CantileverBeam,5,DCAS-PSO,18,400,1,1,2.7882272037328115,0.0,389.50934659655735,0.4002821710000717
CantileverBeam,5,DCAS-PSO,19,400,1,1,2.141876085051179,0.0,391.96657086407765,0.9480262329998368
CantileverBeam,5,DCAS-PSO,20,400,1,1,1.7678272359119422,0.0,392.15456724090507,0.5234955040014029
CantileverBeam,5,DCAS-PSO,21,400,1,1,2.1590041370442816,0.0,390.77132499002937,0.4329439069988439
CantileverBeam,5,DCAS-PSO,22,400,1,1,2.3556183220560265,0.0,389.7090747205479,0.3612328349991003
CantileverBeam,5,DCAS-PSO,23,400,1,1,2.7604491795553368,0.0,392.0818928254272,0.2019248330016125
CantileverBeam,5,DCAS-PSO,24,400,1,1,2.248221378231794,0.0,391.45564806531627,0.2034073949998855
CantileverBeam,5,DCAS-PSO,25,400,1,2,2.225344425137016,0.0,389.92980631713897,0.1950084879990754
CantileverBeam,5,DCAS-PSO,26,400,1,1,2.1985964519618584,0.0,391.9559506249022,0.1968995239985815
CantileverBeam,5,DCAS-PSO,27,400,1,1,4.458058084732842,0.0,390.5473500702701,0.4126192350013298
CantileverBeam,5,DCAS-PSO,28,400,1,1,2.537029746014234,0.0,392.0732031149038,0.4446726419992046
CantileverBeam,5,DCAS-PSO,29,400,1,1,1.8587854447909156,0.0,391.4404852345695,0.4316907140000694
CantileverBeam,5,JADE-NCV,0,400,1,2,4.317274735868483,0.0,400.0,0.0286122769994108
CantileverBeam,5,JADE-NCV,1,400,1,1,4.824460716353739,0.0,400.0,0.0278581960010342
CantileverBeam,5,JADE-NCV,2,400,1,1,4.810695909509698,0.0,400.0,0.0275048659987078
CantileverBeam,5,JADE-NCV,3,400,1,1,5.548500860397243,0.0,400.0,0.034102908000932
CantileverBeam,5,JADE-NCV,4,400,1,1,5.5569026672705775,0.0,400.0,0.0310680849997879
CantileverBeam,5,JADE-NCV,5,400,1,1,3.5295358090131823,0.0,400.0,0.0309368110010836
CantileverBeam,5,JADE-NCV,6,400,1,1,3.9381794614640313,0.0,400.0,0.0380279509990941
CantileverBeam,5,JADE-NCV,7,400,1,1,3.2373293104664462,0.0,400.0,0.0290157010003895
CantileverBeam,5,JADE-NCV,8,400,1,1,2.613505675179677,0.0,400.0,0.0314046649982628
CantileverBeam,5,JADE-NCV,9,400,1,1,3.752654610449002,0.0,400.0,0.0333612869999342
CantileverBeam,5,JADE-NCV,10,400,1,1,3.1409736118254195,0.0,400.0,0.0275099490008869
CantileverBeam,5,JADE-NCV,11,400,1,1,4.893501393254606,0.0,400.0,0.0304253559988865
CantileverBeam,5,JADE-NCV,12,400,1,1,3.4723097438916084,0.0,400.0,0.0336028660003648
CantileverBeam,5,JADE-NCV,13,400,1,1,3.8414863647655673,0.0,400.0,0.0293090180002764
CantileverBeam,5,JADE-NCV,14,400,1,1,4.197022026203985,0.0,400.0,0.0286971160003304
CantileverBeam,5,JADE-NCV,15,400,1,1,3.4391276265151896,0.0,400.0,0.0302508759996271
CantileverBeam,5,JADE-NCV,16,400,1,1,4.748442350171213,0.0,400.0,0.0304089239998575
CantileverBeam,5,JADE-NCV,17,400,1,1,4.478169833447013,0.0,400.0,0.0277299640001729
CantileverBeam,5,JADE-NCV,18,400,1,1,2.679738314262572,0.0,400.0,0.0308273660011764
CantileverBeam,5,JADE-NCV,19,400,1,1,3.9175771102923407,0.0,400.0,0.0312609659995359
CantileverBeam,5,JADE-NCV,20,400,1,1,3.790668267380196,0.0,400.0,0.0289568990010593
CantileverBeam,5,JADE-NCV,21,400,1,1,3.7911333711990656,0.0,400.0,0.0285656139985803
CantileverBeam,5,JADE-NCV,22,400,1,1,4.061732945881272,0.0,400.0,0.0311382260006212
CantileverBeam,5,JADE-NCV,23,400,1,1,3.7266932485393207,0.0,400.0,0.0295768630003294
CantileverBeam,5,JADE-NCV,24,400,1,1,2.8655679798371416,0.0,400.0,0.0289281059995119
CantileverBeam,5,JADE-NCV,25,400,1,2,4.031439986280277,0.0,400.0,0.0291213619984773
CantileverBeam,5,JADE-NCV,26,400,1,1,4.03247344921248,0.0,400.0,0.0304450130006443
CantileverBeam,5,JADE-NCV,27,400,1,1,4.210277018450113,0.0,400.0,0.049628639999355
CantileverBeam,5,JADE-NCV,28,400,1,1,5.832403608341279,0.0,400.0,0.0572262820005562
CantileverBeam,5,JADE-NCV,29,400,1,1,4.948994885649601,0.0,400.0,0.0730977639996126
CantileverBeam,5,PSO,0,400,1,2,2.5014899452205266,0.0,400.0,0.0229506639989267
CantileverBeam,5,PSO,1,400,1,1,2.603634091704349,0.0,400.0,0.0269752050007809
CantileverBeam,5,PSO,2,400,1,1,2.2178135681708016,0.0,400.0,0.0238746200011519
CantileverBeam,5,PSO,3,400,1,1,1.5980671703405205,0.0,400.0,0.0403785599992261
CantileverBeam,5,PSO,4,400,1,1,3.16165830786939,0.0,400.0,0.0278393169992341
CantileverBeam,5,PSO,5,400,1,1,2.1065607662074197,0.0,400.0,0.0243759549994138
CantileverBeam,5,PSO,6,400,1,1,4.169026916486105,0.0,400.0,0.0394611929987149
CantileverBeam,5,PSO,7,400,1,1,2.2678623314743658,0.0,400.0,0.0289406249994499
CantileverBeam,5,PSO,8,400,1,1,3.820645421371255,0.0,400.0,0.0149078529993857
CantileverBeam,5,PSO,9,400,1,1,2.417088594139323,0.0,400.0,0.0372422010004811
CantileverBeam,5,PSO,10,400,1,1,2.210231197304132,0.0,400.0,0.0258309469991218
CantileverBeam,5,PSO,11,400,1,1,2.834228445296013,0.0,400.0,0.0295485050010029
CantileverBeam,5,PSO,12,400,1,1,2.6463161477214068,0.0,400.0,0.0221345459995063
CantileverBeam,5,PSO,13,400,1,1,3.1594644860610157,0.0,400.0,0.0267512979989987
CantileverBeam,5,PSO,14,400,1,1,3.2807180353506675,0.0,400.0,0.0152904779988602
CantileverBeam,5,PSO,15,400,1,1,2.239543653599167,0.0,400.0,0.0175263780001841
CantileverBeam,5,PSO,16,400,1,1,2.6923115055337523,0.0,400.0,0.0287689939996198
CantileverBeam,5,PSO,17,400,1,1,2.1295771116053936,0.0,400.0,0.015117150000151
CantileverBeam,5,PSO,18,400,1,1,1.8600026285039268,0.0,400.0,0.018767908000882
CantileverBeam,5,PSO,19,400,1,1,2.457030976196229,0.0,400.0,0.0163036820013076
CantileverBeam,5,PSO,20,400,1,1,2.373196839466641,0.0,400.0,0.0164004929993097
CantileverBeam,5,PSO,21,400,1,1,2.1769762250648554,0.0,400.0,0.015391847000501
CantileverBeam,5,PSO,22,400,1,1,1.9316197013895509,0.0,400.0,0.0137029829984385
CantileverBeam,5,PSO,23,400,1,1,2.982604632707394,0.0,400.0,0.0137668080005823
CantileverBeam,5,PSO,24,400,1,1,3.2863379509536306,0.0,400.0,0.018906817998868
CantileverBeam,5,PSO,25,400,1,2,2.217072493516099,0.0,400.0,0.0164697590007563
CantileverBeam,5,PSO,26,400,1,1,2.18478596513442,0.0,400.0,0.0158331210004689
CantileverBeam,5,PSO,27,400,1,1,3.127379076705496,0.0,400.0,0.0167362020001746
CantileverBeam,5,PSO,28,400,1,1,2.6291836669039355,0.0,400.0,0.0189848090012674
CantileverBeam,5,PSO,29,400,1,1,2.54399887130321,0.0,400.0,0.0172985529989091
G06,2,CMA-ES,0,400,1,269,-6036.451031417511,0.0,400.0,0.0301986260001285
G06,2,CMA-ES,1,400,1,282,-6723.953301479672,0.0,400.0,0.0330802469998161
G06,2,CMA-ES,2,400,1,147,-6368.941422148307,0.0,400.0,0.0283234380003705
G06,2,CMA-ES,3,400,1,180,-5882.8399170333805,0.0,400.0,0.0259555580014421
G06,2,CMA-ES,4,400,1,248,-6417.385602573986,0.0,400.0,0.0268726479989709
G06,2,CMA-ES,5,400,1,368,-5991.965123913671,0.0,400.0,0.0293369609989895
G06,2,CMA-ES,6,400,1,386,-4760.389139275828,0.0,400.0,0.0305851479988632
G06,2,CMA-ES,7,400,0,401,inf,0.0018872224578247,400.0,0.0236262039998109
G06,2,CMA-ES,8,400,0,401,inf,0.0016281647408639,400.0,0.0291048449998925
G06,2,CMA-ES,9,400,1,216,-5679.391572027903,0.0,400.0,0.0363092169991432
G06,2,CMA-ES,10,400,1,389,-5550.815198058845,0.0,400.0,0.0269223049999709
G06,2,CMA-ES,11,400,1,281,-6273.562671536104,0.0,400.0,0.0263225680009782
G06,2,CMA-ES,12,400,1,291,-5229.3019131040965,0.0,400.0,0.0263335569998162
G06,2,CMA-ES,13,400,1,267,-6388.185527343426,0.0,400.0,0.0203488409988494
G06,2,CMA-ES,14,400,1,326,-6248.685381093128,0.0,400.0,0.0318578870010242
G06,2,CMA-ES,15,400,1,259,-4358.529299549408,0.0,400.0,0.0244674419991497
G06,2,CMA-ES,16,400,1,392,-6533.0818946005,0.0,400.0,0.0325655239994375
G06,2,CMA-ES,17,400,1,314,-2481.9675521431327,0.0,400.0,0.0204740370008948
G06,2,CMA-ES,18,400,1,320,-6607.616382904856,0.0,400.0,0.0552676560000691
G06,2,CMA-ES,19,400,1,299,-5694.10525065226,0.0,400.0,0.0293706520005798
G06,2,CMA-ES,20,400,1,201,-5996.368349229474,0.0,400.0,0.0339346339987969
G06,2,CMA-ES,21,400,1,217,-5016.051683658813,0.0,400.0,0.0300274580004042
G06,2,CMA-ES,22,400,1,215,-5789.278289948922,0.0,400.0,0.0406614759995136
G06,2,CMA-ES,23,400,1,281,-5975.627434121299,0.0,400.0,0.0269342659994435
G06,2,CMA-ES,24,400,1,282,-6493.343702800378,0.0,400.0,0.0154782839999825
G06,2,CMA-ES,25,400,1,209,-5530.585537479128,0.0,400.0,0.0134355849986604
G06,2,CMA-ES,26,400,1,202,-5292.898999089248,0.0,400.0,0.0141331350005202
G06,2,CMA-ES,27,400,1,170,-5793.94733524857,0.0,400.0,0.0146970400001009
G06,2,CMA-ES,28,400,1,239,-3210.6334209847205,0.0,400.0,0.015272176999133
G06,2,CMA-ES,29,400,1,221,-6494.490237898677,0.0,400.0,0.0135861910002859
G06,2,DCAS-CMA,0,400,1,250,-5245.499153048281,0.0,398.8032983120705,0.0707601209996937
G06,2,DCAS-CMA,1,400,1,368,-3210.320287652827,0.0,394.8243988395658,0.0624272229997586
G06,2,DCAS-CMA,2,400,1,286,-4474.685681840071,0.0,394.8616804386456,0.0650884539991238
G06,2,DCAS-CMA,3,400,1,289,-3662.185291714014,0.0,394.6702160105148,0.0683223710002494
G06,2,DCAS-CMA,4,400,0,401,inf,0.0025435794962039,396.2431228811294,0.0581786180009658
G06,2,DCAS-CMA,5,400,0,401,inf,0.6247614380771834,400.9899638874364,0.0632421250011248
G06,2,DCAS-CMA,6,400,0,401,inf,0.0063335059304188,395.11441685616296,0.058319545998529
G06,2,DCAS-CMA,7,400,0,401,inf,0.0016919364201645,395.5994772475637,0.0686523269996541
G06,2,DCAS-CMA,8,400,1,392,-1633.90962212595,0.0,394.2359079812229,0.064364623000074
G06,2,DCAS-CMA,9,400,1,217,-2822.567670178859,0.0,391.8659738467468,0.0680959740002435
G06,2,DCAS-CMA,10,400,0,401,inf,0.2774193044521685,397.1462087912448,0.0726954220008337
G06,2,DCAS-CMA,11,400,1,254,-3005.815499381661,0.0,394.478520652137,0.0746798869986378
G06,2,DCAS-CMA,12,400,1,378,-1646.780231531301,0.0,397.9496092698974,0.1175658730007853
G06,2,DCAS-CMA,13,400,0,401,inf,0.0155430147378588,399.873970866294,0.1598090110001067
G06,2,DCAS-CMA,14,400,0,401,inf,0.0014237690642258,396.7966085488214,0.1334423719999904
G06,2,DCAS-CMA,15,400,1,386,-2078.157247884014,0.0,389.7514915670744,0.1428475199991226
G06,2,DCAS-CMA,16,400,1,395,-1573.8760237206127,0.0,397.9121400353892,0.1450693830011005
G06,2,DCAS-CMA,17,400,0,401,inf,0.0074749206595544,393.620572170769,0.1364772430006269
G06,2,DCAS-CMA,18,400,1,191,-2800.860822027165,0.0,390.6947151327303,0.1734824809991551
G06,2,DCAS-CMA,19,400,1,244,-3226.8544156214543,0.0,394.8263878185312,0.1766173119995073
G06,2,DCAS-CMA,20,400,1,297,-3581.074001578356,0.0,394.5476959189672,0.164854008000475
G06,2,DCAS-CMA,21,400,1,329,-2318.987071759653,0.0,392.834630808465,0.1333262389998708
G06,2,DCAS-CMA,22,400,0,401,inf,0.00221765039808,396.3826253327499,0.1202228430011018
G06,2,DCAS-CMA,23,400,1,355,-1501.8568907334425,0.0,390.96981182427646,0.1586249800002406
G06,2,DCAS-CMA,24,400,1,258,-1578.0202116519338,0.0,393.6421422439551,0.1526845070002309
G06,2,DCAS-CMA,25,400,1,239,-3613.694508463838,0.0,390.5008970115898,0.1343767649996152
G06,2,DCAS-CMA,26,400,1,297,-3727.6454682971134,0.0,399.56609927928287,0.078523177999159
G06,2,DCAS-CMA,27,400,0,401,inf,0.0011466583040792,396.38878542764064,0.0666453189987805
G06,2,DCAS-CMA,28,400,1,358,-2098.749664460122,0.0,396.0882987402101,0.0710221110002748
G06,2,DCAS-CMA,29,400,1,370,-2330.63643079609,0.0,394.48418724660473,0.0839061999995465
G06,2,DCAS-DE,0,400,1,331,-5890.366841885637,0.0,381.2759044632305,0.353051926000262
