kappa,problem,method,seed,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain
10,RotatedBox10,UCB-Violation,2,1,216,8.104607487901143,0.0,1078.4986279565578,48.95155722786782
10,NarrowCorridor12,DCAS,0,1,116,1.1201124580255843,0.0,1297.8699563419489,58.265624492604076
10,NarrowCorridor12,DCAS,1,1,184,1.1320365340447713,0.0,1244.973484019777,57.957630696484195
10,NarrowCorridor12,DCAS,2,1,121,1.2757155834225498,0.0,1347.2068507896918,53.90970563988215
10,NarrowCorridor12,UCB-Success,0,1,124,0.7951859173615313,0.0,1404.8174648508164,68.6930863747305
10,NarrowCorridor12,UCB-Success,1,1,184,1.2370718625163586,0.0,1501.8424249470563,66.7393849791779
10,NarrowCorridor12,UCB-Success,2,1,142,1.2066910552132475,0.0,1433.0630373723434,59.482344814101026
10,NarrowCorridor12,UCB-Violation,0,1,146,1.2171813320240918,0.0,1237.6817319137172,55.56426396262975
10,NarrowCorridor12,UCB-Violation,1,1,111,1.2135549462058643,0.0,1238.158421977815,49.556059762781146
10,NarrowCorridor12,UCB-Violation,2,1,155,0.9019336378855181,0.0,1210.535314414419,57.66269652310013
50,Annulus10,DCAS,0,1,129,0.20835375995529318,0.0,5019.05963770911,59.34582835255003
50,Annulus10,DCAS,1,1,103,-0.02346124425007942,0.0,5161.962695136096,60.80837771044968
50,Annulus10,DCAS,2,1,100,0.2828914203132058,0.0,5016.286604837234,62.88485606351016
50,Annulus10,UCB-Success,0,1,90,-0.10671037681902407,0.0,6398.606821893864,73.99158325826735
50,Annulus10,UCB-Success,1,1,174,0.24377450132500314,0.0,5522.626288573454,79.06215882757104
50,Annulus10,UCB-Success,2,1,116,0.02699043807030513,0.0,8496.729866986552,77.5335999266564
50,Annulus10,UCB-Violation,0,1,73,0.27531696337332523,0.0,4974.14714159483,57.61115540788563
50,Annulus10,UCB-Violation,1,1,104,-0.08249204698712045,0.0,4874.214199876218,64.56232093356984
50,Annulus10,UCB-Violation,2,1,128,0.13748674213965906,0.0,4630.575760706616,67.97080516347424
50,RotatedBox10,DCAS,0,1,280,5.340156486743286,0.0,4287.528067632015,52.2304974637618
50,RotatedBox10,DCAS,1,1,277,6.186786452871647,0.0,4383.027645388569,45.680751601278814
50,RotatedBox10,DCAS,2,1,194,6.00665201163523,0.0,5210.226701917866,44.474569080749184
50,RotatedBox10,UCB-Success,0,1,204,4.929050671041068,0.0,6257.37024405705,62.375067939590124
50,RotatedBox10,UCB-Success,1,1,166,4.117322457090627,0.0,6735.667361948539,57.16334871099363
50,RotatedBox10,UCB-Success,2,1,149,5.5976364009453645,0.0,6835.903052816173,59.67887173315729
50,RotatedBox10,UCB-Violation,0,1,266,7.869659507233564,0.0,3850.0980759797085,50.152827770050514
50,RotatedBox10,UCB-Violation,1,1,212,7.512901369059017,0.0,4192.555858961669,47.9496871995404
50,RotatedBox10,UCB-Violation,2,1,216,5.144514286247837,0.0,3991.7560534745367,52.616326347209466
50,NarrowCorridor12,DCAS,0,1,139,1.0385621881695921,0.0,5267.716784451761,51.739288280333646
50,NarrowCorridor12,DCAS,1,1,86,1.2209410779716565,0.0,5557.129492754802,49.92071806438777
50,NarrowCorridor12,DCAS,2,1,100,0.9734315928234989,0.0,5314.316070344995,53.41735072301023
50,NarrowCorridor12,UCB-Success,0,1,124,0.7951859173615313,0.0,5764.8174648508175,68.6930863747305
50,NarrowCorridor12,UCB-Success,1,1,184,1.2370718625163586,0.0,6301.842424947064,66.7393849791779
50,NarrowCorridor12,UCB-Success,2,1,142,1.2066910552132475,0.0,5913.063037372338,59.482344814101026
50,NarrowCorridor12,UCB-Violation,0,1,101,0.9841986446986104,0.0,4878.613256645007,48.96993169361248
50,NarrowCorridor12,UCB-Violation,1,1,158,1.2143470867959927,0.0,4489.143253142363,57.05245902937301
50,NarrowCorridor12,UCB-Violation,2,1,138,0.9789073844675886,0.0,4634.186934675957,53.45277213914968
